variable,category,subcommunity,community,prop,min_ci,max_ci
RACE,Black or African American,C2_0,C2,0.9211663066954644,0.9020179538682706,0.9368345990826837
RACE,,C2_0,C2,0.05075593952483801,0.03838181047058167,0.06684213304840048
RACE,Multiple,C2_0,C2,0.012958963282937365,0.007428309102804482,0.022513995048784347
RACE,Other/Unknown,C2_0,C2,0.01079913606911447,0.005876240797913649,0.01976425538982413
RACE,White,C2_0,C2,0.0021598272138228943,0.0005924900786832333,0.00784077425365036
RACE,White or Caucasian,C2_0,C2,0.0010799136069114472,0.0001906518065090037,0.006091708543899064
RACE,Hispanic,C2_0,C2,0.0010799136069114472,0.0001906518065090037,0.006091708543899064
RACE,Black or African American,C2_1,C2,0.9138668295662797,0.899288032926387,0.9265077050656285
RACE,,C2_1,C2,0.05192425167990226,0.04218649473034274,0.0637601121816224
RACE,Other/Unknown,C2_1,C2,0.012217470983506415,0.007922691557120984,0.0187962799755364
RACE,White,C2_1,C2,0.010384850335980453,0.006493802569273193,0.016568508868954605
RACE,Multiple,C2_1,C2,0.00916310323762981,0.0055607421626415535,0.01506379587929985
RACE,Caucasian,C2_1,C2,0.0012217470983506415,0.00033510406978028194,0.004443906896299563
RACE,Native Hawaiian/Other Pacific Islander,C2_1,C2,0.0006108735491753207,0.00010783954737310559,0.0034522847205635428
RACE,Amer. Indian/Alaska Native,C2_1,C2,0.0006108735491753207,0.00010783954737310559,0.0034522847205635428
RACE,Black or African American,C2_10,C2,0.898876404494382,0.845825508703941,0.9350739114507429
RACE,,C2_10,C2,0.07303370786516854,0.043174612835219436,0.12093305009779477
RACE,White,C2_10,C2,0.016853932584269662,0.005748030604952471,0.04837379850345837
RACE,Other/Unknown,C2_10,C2,0.011235955056179775,0.0030866670600996488,0.04003657866585085
RACE,Black or African American,C2_2,C2,0.9037313432835821,0.8867645805018979,0.9183898365067734
RACE,,C2_2,C2,0.06119402985074627,0.04957201162632116,0.07532485121822838
RACE,Other/Unknown,C2_2,C2,0.012686567164179104,0.00793575637616269,0.02022351477603263
RACE,Multiple,C2_2,C2,0.012686567164179104,0.00793575637616269,0.02022351477603263
RACE,White,C2_2,C2,0.009701492537313432,0.005678262452836519,0.016527926133675465
RACE,Black or African American,C2_3,C2,0.9285714285714286,0.8951020264080265,0.9519353070693441
